date,close,Volume,open,high,low
4/5/23,$41.55 ,29697620,$41.29 ,$42.22 ,$41.17 
4/4/23,$40.90 ,19514530,$41.44 ,$41.53 ,$40.76 
4/3/23,$41.35 ,20817190,$40.69 ,$41.47 ,$40.65 
3/31/23,$40.80 ,23393580,$40.55 ,$40.83 ,$40.28 
3/30/23,$40.38 ,12634520,$40.42 ,$40.49 ,$40.25 
3/29/23,$40.25 ,14429510,$40.16 ,$40.27 ,$39.99 
3/28/23,$39.99 ,13537520,$40.20 ,$40.30 ,$39.86 
3/27/23,$40.22 ,20262830,$40.54 ,$40.62 ,$39.97 
3/24/23,$40.39 ,17221120,$40.09 ,$40.46 ,$39.87 
3/23/23,$40.18 ,16958150,$40.17 ,$40.50 ,$40.00 
3/22/23,$40.01 ,15444160,$40.70 ,$40.85 ,$39.99 
3/21/23,$40.66 ,19981980,$40.86 ,$40.91 ,$40.31 
3/20/23,$40.81 ,20825380,$40.14 ,$40.86 ,$39.94 
3/17/23,$40.10 ,57457790,$40.63 ,$40.79 ,$39.99 
3/16/23,$40.37 ,21100880,$40.06 ,$40.49 ,$39.72 
3/15/23,$40.28 ,25498380,$39.76 ,$40.53 ,$39.46 
3/14/23,$39.90 ,24583600,$40.05 ,$40.15 ,$39.52 
3/13/23,$39.86 ,35299380,$39.26 ,$40.51 ,$39.26 
3/10/23,$39.39 ,26328100,$39.29 ,$39.93 ,$39.23 
3/9/23,$39.46 ,18585100,$40.41 ,$40.57 ,$39.31 
3/8/23,$40.12 ,16756130,$40.32 ,$40.57 ,$39.91 
3/7/23,$40.34 ,23205790,$41.06 ,$41.13 ,$40.10 
3/6/23,$41.11 ,19434760,$41.09 ,$41.26 ,$40.82 
3/3/23,$41.15 ,20922030,$40.91 ,$41.18 ,$40.74 
3/2/23,$40.62 ,19112800,$40.06 ,$40.78 ,$39.81 
3/1/23,$40.18 ,21104420,$40.56 ,$40.76 ,$40.14 
2/28/23,$40.57 ,31086880,$40.50 ,$40.71 ,$40.09 
2/27/23,$40.78 ,26370310,$41.44 ,$41.73 ,$40.73 
2/24/23,$41.75 ,16806100,$42.03 ,$42.05 ,$41.51 
2/23/23,$42.30 ,21104330,$42.29 ,$42.75 ,$42.22 
2/22/23,$42.38 ,17394200,$42.72 ,$42.89 ,$42.31 
2/21/23,$42.70 ,17356570,$42.81 ,$42.93 ,$42.62 
2/17/23,$43.21 ,18293450,$42.89 ,$43.37 ,$42.58 
2/16/23,$42.95 ,17832040,$43.15 ,$43.18 ,$42.77 
2/15/23,$43.32 ,18999280,$43.42 ,$43.61 ,$43.11 
2/14/23,$43.72 ,17506900,$44.09 ,$44.20 ,$43.58 
2/13/23,$43.99 ,17878020,$43.68 ,$44.01 ,$43.51 
2/10/23,$43.88 ,18619570,$43.50 ,$43.98 ,$43.26 
2/9/23,$43.34 ,20809250,$44.12 ,$44.33 ,$43.24 
2/8/23,$43.98 ,19362310,$43.55 ,$44.10 ,$43.53 
2/7/23,$43.59 ,22999450,$43.82 ,$43.90 ,$43.25 
2/6/23,$43.76 ,18071240,$44.19 ,$44.30 ,$43.73 
2/3/23,$44.06 ,23741990,$44.36 ,$44.39 ,$43.88 
2/2/23,$44.34 ,35279250,$43.63 ,$44.46 ,$43.50 
2/1/23,$43.97 ,24482320,$43.91 ,$44.18 ,$43.41 
1/31/23,$44.16 ,49722470,$43.00 ,$44.28 ,$42.70 
1/30/23,$43.55 ,24402230,$43.79 ,$44.14 ,$43.40 
1/27/23,$43.79 ,23798610,$44.22 ,$44.34 ,$43.78 
1/26/23,$44.25 ,38465460,$44.20 ,$44.30 ,$43.61 
1/25/23,$45.07 ,20827990,$45.03 ,$45.11 ,$44.59 
1/24/23,$44.71 ,18853130,$44.92 ,$44.95 ,$44.15 
1/23/23,$44.98 ,19398550,$45.04 ,$45.32 ,$44.82 
1/20/23,$45.11 ,25197560,$45.28 ,$45.43 ,$44.73 
1/19/23,$44.96 ,26614860,$44.72 ,$45.27 ,$44.64 
1/18/23,$45.00 ,33834990,$45.55 ,$45.85 ,$44.97 
1/17/23,$46.08 ,29391410,$46.54 ,$46.74 ,$45.71 
1/13/23,$47.85 ,18737550,$47.50 ,$48.16 ,$47.49 
1/12/23,$47.71 ,23345250,$47.27 ,$47.72 ,$46.58 
